symbol;sector
HOME;Consumer Cyclical
TGI;Industrials
TEVA;Healthcare
CLDR;Technology
CROX;Consumer Cyclical
NIO;Consumer Cyclical
NPTN;Technology
HIMX;Technology
IMGN;Healthcare
RUN;Technology
INFN;Technology
PAAS;Basic Materials
LEN;Consumer Cyclical
DHI;Consumer Cyclical
SWKS;Technology
PDD;Consumer Cyclical
ZG;Communication Services
DOCU;Technology
FVRR;Communication Services
LULU;Consumer Cyclical
AAPL;Technology
RNG;Technology
TSLA;Consumer Cyclical
PHM;Consumer Cyclical
TGT;Consumer Defensive
