|       | 0    | link                                      |
|:------|:-----|:------------------------------------------|
| NXT   | HOLD | https://www.tradingview.com/symbols/NXT   |
| TDI   | HOLD | https://www.tradingview.com/symbols/TDI   |
| ODD   | HOLD | https://www.tradingview.com/symbols/ODD   |
| ISPR  | HOLD | https://www.tradingview.com/symbols/ISPR  |
| NATL  | HOLD | https://www.tradingview.com/symbols/NATL  |
| WS    | HOLD | https://www.tradingview.com/symbols/WS    |
| KNF   | HOLD | https://www.tradingview.com/symbols/KNF   |
| KVYO  | HOLD | https://www.tradingview.com/symbols/KVYO  |
| USE   | HOLD | https://www.tradingview.com/symbols/USE   |
| MURA  | BUY  | https://www.tradingview.com/symbols/MURA  |
| LLYVK | HOLD | https://www.tradingview.com/symbols/LLYVK |
| CMCI  | HOLD | https://www.tradingview.com/symbols/CMCI  |
| QETA  | HOLD | https://www.tradingview.com/symbols/QETA  |
| RYZB  | HOLD | https://www.tradingview.com/symbols/RYZB  |
| MARA  | HOLD | https://www.tradingview.com/symbols/MARA  |
| CVNA  | HOLD | https://www.tradingview.com/symbols/CVNA  |
| RIOT  | HOLD | https://www.tradingview.com/symbols/RIOT  |
| IMGN  | HOLD | https://www.tradingview.com/symbols/IMGN  |
| DHC   | HOLD | https://www.tradingview.com/symbols/DHC   |
| AFRM  | HOLD | https://www.tradingview.com/symbols/AFRM  |
| AUR   | HOLD | https://www.tradingview.com/symbols/AUR   |
| COIN  | HOLD | https://www.tradingview.com/symbols/COIN  |
| BBIO  | HOLD | https://www.tradingview.com/symbols/BBIO  |
| DFH   | HOLD | https://www.tradingview.com/symbols/DFH   |
| CCL   | HOLD | https://www.tradingview.com/symbols/CCL   |
| TALK  | HOLD | https://www.tradingview.com/symbols/TALK  |
| RCL   | HOLD | https://www.tradingview.com/symbols/RCL   |
| MOR   | HOLD | https://www.tradingview.com/symbols/MOR   |
| ARCT  | HOLD | https://www.tradingview.com/symbols/ARCT  |
| RDFN  | HOLD | https://www.tradingview.com/symbols/RDFN  |
| ANY   | HOLD | https://www.tradingview.com/symbols/ANY   |
| NEO   | HOLD | https://www.tradingview.com/symbols/NEO   |
| OPFI  | HOLD | https://www.tradingview.com/symbols/OPFI  |
| BLD   | HOLD | https://www.tradingview.com/symbols/BLD   |
| MSTR  | BUY  | https://www.tradingview.com/symbols/MSTR  |
| IBP   | HOLD | https://www.tradingview.com/symbols/IBP   |
| GNE   | HOLD | https://www.tradingview.com/symbols/GNE   |
| CCO   | HOLD | https://www.tradingview.com/symbols/CCO   |
| UBER  | HOLD | https://www.tradingview.com/symbols/UBER  |
| OSCR  | HOLD | https://www.tradingview.com/symbols/OSCR  |
| SSD   | HOLD | https://www.tradingview.com/symbols/SSD   |
| ESTC  | HOLD | https://www.tradingview.com/symbols/ESTC  |
| UPST  | HOLD | https://www.tradingview.com/symbols/UPST  |
| APP   | HOLD | https://www.tradingview.com/symbols/APP   |
| OPEN  | HOLD | https://www.tradingview.com/symbols/OPEN  |
| NCLH  | HOLD | https://www.tradingview.com/symbols/NCLH  |
| ANF   | HOLD | https://www.tradingview.com/symbols/ANF   |
| TREX  | HOLD | https://www.tradingview.com/symbols/TREX  |
| CUBI  | HOLD | https://www.tradingview.com/symbols/CUBI  |
| RYTM  | HOLD | https://www.tradingview.com/symbols/RYTM  |
| AMPH  | HOLD | https://www.tradingview.com/symbols/AMPH  |
| WRLD  | HOLD | https://www.tradingview.com/symbols/WRLD  |
| LAB   | HOLD | https://www.tradingview.com/symbols/LAB   |
| PANW  | HOLD | https://www.tradingview.com/symbols/PANW  |
| XPO   | HOLD | https://www.tradingview.com/symbols/XPO   |
| BX    | HOLD | https://www.tradingview.com/symbols/BX    |
| STNE  | HOLD | https://www.tradingview.com/symbols/STNE  |
| AZEK  | HOLD | https://www.tradingview.com/symbols/AZEK  |
| CORT  | HOLD | https://www.tradingview.com/symbols/CORT  |
| SDGR  | HOLD | https://www.tradingview.com/symbols/SDGR  |
| FND   | HOLD | https://www.tradingview.com/symbols/FND   |
| ROOT  | HOLD | https://www.tradingview.com/symbols/ROOT  |
| SPOT  | HOLD | https://www.tradingview.com/symbols/SPOT  |
| AMD   | HOLD | https://www.tradingview.com/symbols/AMD   |
| PHM   | HOLD | https://www.tradingview.com/symbols/PHM   |
| PRG   | HOLD | https://www.tradingview.com/symbols/PRG   |
| LOB   | HOLD | https://www.tradingview.com/symbols/LOB   |
| CRNX  | HOLD | https://www.tradingview.com/symbols/CRNX  |
| PVH   | HOLD | https://www.tradingview.com/symbols/PVH   |
| CDLX  | HOLD | https://www.tradingview.com/symbols/CDLX  |
| MTC   | BUY  | https://www.tradingview.com/symbols/MTC   |
| MBC   | HOLD | https://www.tradingview.com/symbols/MBC   |
| BCC   | HOLD | https://www.tradingview.com/symbols/BCC   |
| CRS   | HOLD | https://www.tradingview.com/symbols/CRS   |
| ERJ   | HOLD | https://www.tradingview.com/symbols/ERJ   |
| BVN   | HOLD | https://www.tradingview.com/symbols/BVN   |
| RMBS  | HOLD | https://www.tradingview.com/symbols/RMBS  |
| NEOG  | HOLD | https://www.tradingview.com/symbols/NEOG  |
| CX    | HOLD | https://www.tradingview.com/symbols/CX    |
| LPG   | HOLD | https://www.tradingview.com/symbols/LPG   |
| ML    | HOLD | https://www.tradingview.com/symbols/ML    |
| WD    | HOLD | https://www.tradingview.com/symbols/WD    |
| IRS   | HOLD | https://www.tradingview.com/symbols/IRS   |
| NET   | HOLD | https://www.tradingview.com/symbols/NET   |
| PP    | HOLD | https://www.tradingview.com/symbols/PP    |
| MK    | HOLD | https://www.tradingview.com/symbols/MK    |
| RHM   | HOLD | https://www.tradingview.com/symbols/RHM   |
| REAL  | HOLD | https://www.tradingview.com/symbols/REAL  |
| CCS   | HOLD | https://www.tradingview.com/symbols/CCS   |
| CNM   | HOLD | https://www.tradingview.com/symbols/CNM   |
| MG    | HOLD | https://www.tradingview.com/symbols/MG    |
| COKE  | HOLD | https://www.tradingview.com/symbols/COKE  |
| HMY   | HOLD | https://www.tradingview.com/symbols/HMY   |
| SHAK  | HOLD | https://www.tradingview.com/symbols/SHAK  |
| FG    | HOLD | https://www.tradingview.com/symbols/FG    |
| TOL   | HOLD | https://www.tradingview.com/symbols/TOL   |
| IDCC  | HOLD | https://www.tradingview.com/symbols/IDCC  |
| BLDR  | HOLD | https://www.tradingview.com/symbols/BLDR  |
| NHC   | HOLD | https://www.tradingview.com/symbols/NHC   |
| GTLB  | HOLD | https://www.tradingview.com/symbols/GTLB  |
| KKR   | HOLD | https://www.tradingview.com/symbols/KKR   |
| APG   | HOLD | https://www.tradingview.com/symbols/APG   |
| AX    | HOLD | https://www.tradingview.com/symbols/AX    |
| ITB   | HOLD | https://www.tradingview.com/symbols/ITB   |
| SLG   | HOLD | https://www.tradingview.com/symbols/SLG   |
| KBH   | HOLD | https://www.tradingview.com/symbols/KBH   |
| CERE  | HOLD | https://www.tradingview.com/symbols/CERE  |
| ENVA  | HOLD | https://www.tradingview.com/symbols/ENVA  |
| TEAM  | HOLD | https://www.tradingview.com/symbols/TEAM  |
| CRVL  | HOLD | https://www.tradingview.com/symbols/CRVL  |
| CMG   | HOLD | https://www.tradingview.com/symbols/CMG   |
| FORM  | HOLD | https://www.tradingview.com/symbols/FORM  |
| MELI  | HOLD | https://www.tradingview.com/symbols/MELI  |
| WDC   | HOLD | https://www.tradingview.com/symbols/WDC   |
| RRX   | HOLD | https://www.tradingview.com/symbols/RRX   |
| PLAB  | HOLD | https://www.tradingview.com/symbols/PLAB  |
| TEX   | HOLD | https://www.tradingview.com/symbols/TEX   |
| RPD   | HOLD | https://www.tradingview.com/symbols/RPD   |
| BCO   | HOLD | https://www.tradingview.com/symbols/BCO   |
| NTCO  | HOLD | https://www.tradingview.com/symbols/NTCO  |
| APAM  | HOLD | https://www.tradingview.com/symbols/APAM  |
| THR   | HOLD | https://www.tradingview.com/symbols/THR   |
| MDC   | HOLD | https://www.tradingview.com/symbols/MDC   |
| UBS   | HOLD | https://www.tradingview.com/symbols/UBS   |
| GPS   | HOLD | https://www.tradingview.com/symbols/GPS   |
| UTI   | HOLD | https://www.tradingview.com/symbols/UTI   |
