,symbol,Industry,P/S
722,BRKB,,0
562,NVCR,,42.766994
639,OMC,Advertising Agencies,1.2657577
281,CCO,Advertising Agencies,0
417,BITA,Advertising Agencies,0
312,IPG,Advertising Agencies,1.5264933
226,TGI,Aerospace & Defense,0.53168523
528,SPCE,Aerospace & Defense,Infinity
678,ERJ,Aerospace & Defense,0.7919115
730,KTOS,Aerospace & Defense,4.3623214
56,GD,Aerospace & Defense,1.374354
742,HEI,Aerospace & Defense,10.328922
578,LMT,Aerospace & Defense,1.5966942
579,NOC,Aerospace & Defense,1.5830103
2,BA,Aerospace & Defense,2.4581554
649,MOS,Agricultural Inputs,1.2373911
655,CF,Agricultural Inputs,2.4918668
561,CTVA,Agricultural Inputs,2.180316
104,DAL,Airlines,2.2728624
621,UAL,Airlines,1.6769748
79,ZNH,Airlines,0.14768074
82,AAL,Airlines,1.1142968
712,GOL,Airlines,0.36255744
166,LUV,Airlines,4.7535825
295,JBLU,Airlines,2.60751
688,LTM,Airlines,0
91,AA,Aluminum,0.6117648
62,VFC,Apparel Manufacturing,3.5638278
145,UAA,Apparel Manufacturing,1.8347535
157,UA,Apparel Manufacturing,1.9435182
196,LEVI,Apparel Manufacturing,2.3143816
214,HBI,Apparel Manufacturing,0.95626795
622,RL,Apparel Manufacturing,1.8909903
67,ANF,Apparel Retail,0.72555125
244,LB,Apparel Retail,1.477945
630,ASNA,Apparel Retail,0
250,GES,Apparel Retail,0.8626783
100,GPS,Apparel Retail,0.8497983
390,CHS,Apparel Retail,0.46535242
227,TLRD,Apparel Retail,0
463,TJX,Apparel Retail,2.3780785
192,URBN,Apparel Retail,1.0593951
641,AEO,Apparel Retail,1.3090674
577,LULU,Apparel Retail,10.701693
505,ROST,Apparel Retail,3.2799566
368,ARCC,Asset Management,5.468639
645,BK,Asset Management,2.717107
346,FSK,Asset Management,4.2414026
168,IVZ,Asset Management,1.9517093
94,BEN,Asset Management,2.2847445
63,BLK,Asset Management,7.591358
708,SSSS,Asset Management,173.43198
110,NTRS,Asset Management,3.7518415
763,CG,Asset Management,2.558374
520,BX,Asset Management,4.6399975
764,BAM,Asset Management,1.2207699
507,TROW,Asset Management,6.5603156
37,NOAH,Asset Management,0.8685179
451,KKR,Asset Management,3.8206732
713,STT,Asset Management,2.3751845
101,CARS,Auto & Truck Dealerships,1.6443545
478,TM,Auto Manufacturers,0.008996238
301,HMC,Auto Manufacturers,0.0041198744
772,RACE,Auto Manufacturers,14.326098
608,TSLA,Auto Manufacturers,16.707102
349,NIO,Auto Manufacturers,3.3611124
666,TTM,Auto Manufacturers,0.007055056
683,F,Auto Manufacturers,0.44911057
128,GM,Auto Manufacturers,0.6962114
365,LKQ,Auto Parts,1.1998768
143,AXL,Auto Parts,0.24974418
113,BWA,Auto Parts,0.959392
129,GT,Auto Parts,0.30843887
448,GNTX,Auto Parts,4.4719377
215,DAN,Auto Parts,0.4477339
306,BAC,Banks—Diversified,4.1086287
721,JPM,Banks—Diversified,3.7791483
231,RY,Banks—Diversified,3.0467827
659,C,Banks—Diversified,2.1554217
720,MUFG,Banks—Diversified,0.013912191
660,WFC,Banks—Diversified,2.7133899
707,SMFG,Banks—Diversified,0.027375719
225,TD,Banks—Diversified,3.4286897
112,PNC,Banks—Regional,5.027546
233,CFG,Banks—Regional,3.1250873
268,PBCT,Banks—Regional,3.7638068
261,BBAR,Banks—Regional,0.007836993
238,FITB,Banks—Regional,3.5541284
282,BSBR,Banks—Regional,1.5274465
111,BMA,Banks—Regional,0.021373399
130,ZION,Banks—Regional,2.94255
299,HDB,Banks—Regional,0.14337042
697,ITUB,Banks—Regional,0.61231285
8,BAP,Banks—Regional,1.1640956
652,GGAL,Banks—Regional,0.0128883645
39,CMA,Banks—Regional,3.2442992
428,IBN,Banks—Regional,0.05723599
665,USB,Banks—Regional,3.9476724
364,MFG,Banks—Regional,0.014611825
361,NYCB,Banks—Regional,4.3567147
338,KEY,Banks—Regional,3.0277505
333,ISBC,Banks—Regional,4.315688
673,TFC,Banks—Regional,3.3681846
326,HBAN,Banks—Regional,3.018888
303,SUPV,Banks—Regional,0.008592219
324,FHN,Banks—Regional,3.3072584
311,RF,Banks—Regional,3.276836
691,BBD,Banks—Regional,0.7057914
318,BSMX,Banks—Regional,0.13147052
378,BFB,Beverages - Wineries & Distillers,0
330,ABEV,Beverages—Brewers,0.9303546
470,PEP,Beverages—Non-Alcoholic,2.8174703
464,KO,Beverages—Non-Alcoholic,6.9344373
750,MNST,Beverages—Non-Alcoholic,10.546745
352,KDP,Beverages—Non-Alcoholic,4.109205
681,NBEV,Beverages—Non-Alcoholic,1.1335902
616,STZ,Beverages—Wineries & Distilleries,4.970722
403,INCY,Biotechnology,6.922735
602,REGN,Biotechnology,6.895077
587,VRTX,Biotechnology,7.580496
586,IGMS,Biotechnology,0
551,FREQ,Biotechnology,9.224677
539,NBIX,Biotechnology,9.09004
16,ALXN,Biotechnology,6.3984847
640,NKTR,Biotechnology,20.26648
684,LXRX,Biotechnology,27.914255
188,HCM,Biotechnology,19.906506
107,CLVS,Biotechnology,3.9013133
460,BMRN,Biotechnology,8.114575
255,FOLD,Biotechnology,10.126746
332,EXEL,Biotechnology,7.105069
419,IMGN,Biotechnology,9.928978
269,SGMO,Biotechnology,13.788723
653,FOXA,Broadcasting,1.7355448
351,TV,Broadcasting,0.07713703
370,NWSA,Broadcasting,1.6407682
393,FWONK,Broadcasting,8.83915
