;Performance;diff
WS;inf;inf
BIRK;inf;inf
ODD;inf;inf
NATL;inf;inf
MURA;inf;inf
LLYVK;inf;inf
KVYO;inf;inf
KLG;inf;inf
VLTO;inf;inf
CMCI;inf;
SN;inf;inf
ARM;inf;inf
ROOT;7,839999437332153;6,966666539510091
MSTR;6,061975670667363;4,480550877646471
ML;5,102867206637187;6,036256270147476
CVNA;4,42747787585132;3,4287537955304437
COIN;4,248091304630795;3,6603051495645205
CCCC;2,976127406841892;0,2891247103720177
JMIA;2,8164383400580433;1,468493148895338
VST;2,770682840779053;2,6634539204096344
WGS;2,6834062019649023;2,935953619499489
TWST;2,6485175839043213;1,7811321980821224
ANF;2,469848357341722;4,309802354209942
RYTM;2,402582620808478;1,2526670485647817
GRPN;2,3326447437177693;2,2561982917407866
GPS;2,3323075710198817;1,7507691994691505
STG;2,324927961309019;0,8840579449742366
KRRO;2,305263218126799;1,2205262435109991
FRPT;2,1950236048592147;0,9095648528630632
CYTK;2,1618052020755565;0,4664281973519031
APP;2,144760135669062;2,4347245515909846
CDNA;2,1082535610211846;0,7811005926812338
OSCR;2,0748441530593764;1,080041628578348
ELAN;2,0346531241141923;0,8168316523171736
ORN;2,0232557924627197;2,9844961383581867
EME;2,021056853331716;1,1164050761444932
BMA;1,9986651105689273;1,5376057944013926
GCI;1,9750001430511475;1,125
NVAX;1,947761036022438;1,0802239379134293
SUPV;1,9448671111103053;1,3536120866429395
ASTS;1,9377104174388178;0,6616161263435428
SMCI;1,9205290371488155;2,142851163148401
MLKN;1,8849314236332246;0,7253424572528563
BURL;1,8712491542365024;0,5154658867237142
CSTL;1,8709343361895385;0,4913494478555626
RIOT;1,8703702877475161;-0,026315833502968383
HA;1,8506692858825853;0,35015443925570977
MMYT;1,8398436732717194;1,7674005940144744
CRS;1,83320646696362;0,9851653407849309
NXT;1,8323052380335814;0,39753316845806336
AMCX;1,808298723398126;0,40663904519870103
MARA;1,7913223718588847;1,0485536465430882
OPFI;1,7860262972573742;0,4279476137110883
CEG;1,7679575305402437;1,3162864462450266
UBER;1,767446989203421;0,680511871391364
TMDX;1,7646568563366432;0,6566968757483252
PEV;1,7643371615075494;-0,09349398054116566
TALK;1,758064268034779;1,104838608889129
EAT;1,7445842316593556;0,7881787029090459
SBOW;1,742020524733614;0,4419828289913277
RKT;1,730312747548944;0,5695792310936906
DY;1,7081367051501941;0,6881252805030301
PRCT;1,6729964078357564;0,8726611278102498
HWM;1,6681156878912584;0,8078679273988714
NHC;1,662868259868379;0,6835422050328668
SNAP;1,6579457521940055;0,5116279886416646
CORT;1,6525097100085402;0,4066924781974336
ATGE;1,6490881952703773;0,5899456316360031
CLS;1,6376383223637327;2,9284131950517325
AGIO;1,6366716938038959;0,7887800932547002
CNM;1,6327446674782857;0,6334371624672865
ARVN;1,6296530992260643;-0,16353799999174676
AZEK;1,6207929106546963;0,6881076954385051
BKU;1,6120052954436601;0,18051325184195205
SM;1,6097645817896942;0,6772853197487134
CMPR;1,6071428521266866;0,5832106127238132
WRBY;1,6033334732055664;0,38749996821085614
NRG;1,6023290643518913;1,3595344003528844
NGS;1,594541841297815;0,9727094853412082
DYN;1,5850815695360112;1,405594355848569
BV;1,5817436596250682;0,8841961357221445
PRMW;1,577539913710325;0,744079423802953
DKNG;1,5734508009113244;0,46289221772552974
CELH;1,5712087514342434;0,3208909748384629
MOR;1,5678424768099917;1,5006785062897863
RXRX;1,5674045330233732;-0,13682089678969608
FFWM;1,5652174422526761;0,06994326809588014
OPK;1,5649350820252823;-0,14285708756526322
LDOS;1,5630520640136647;0,7169811612988338
TEVA;1,5577690734066405;1,302788800722918
TAL;1,556962007170514;0,691455583864827
WAL;1,5555284321380025;0,4026418457535413
BASE;1,5545343357821884;0,09865200002804925
WMS;1,5517051734715837;0,48916513693950164
PRFT;1,550603712911316;-0,015386603556255223
WOR;1,548211154459184;0,3516667167140668
SSD;1,5466605823402426;0,22858673967858376
FIP;1,5459941291014718;1,3145401945439075
SMTC;1,5441303184912627;0,3281919364753211
CRSP;1,5321597361000128;0,025004119672178263
FTAI;1,52937184803725;1,8325455485723188
NTRA;1,5230675610547095;1,2174684249572651
ABCB;1,5163615702376612;0,2986688865114912
HTLF;1,5108211682188613;0,3491406520279177
USM;1,5090466190289662;2,217732130254196
LOGI;1,5084505989552148;0,5669795753113754
MHO;1,5027625798743576;0,554798911593327
