;0
SSSS;-1453,6945375330674
MS;-688,4959307136959
BIIB;-510,6856457085844
BBD;-472,52573302336
PBR;-438,1827349492432
ODP;-382,7116764217684
GS;-360,8075882883794
JD;-314,8650674554671
ARI;-304,97065279559047
BLK;-204,18113261683587
CSCO;-192,7948664046662
SPWR;-189,7503691043648
PM;-177,15670940618463
FTV;-171,6554117064397
SFIX;-138,79916168305624
GILD;-126,4446622609054
IBM;-126,06303076163236
TWTR;-126,03569990072896
OMC;-125,89873263685608
KAR;-125,81729567660497
SBH;-117,83643621406998
JKS;-116,30603048552281
WWE;-107,86712398754842
PNC;-105,7120515336988
STX;-102,86847978728504
GDDY;-90,34554075063255
CF;-84,3299325634503
ADM;-81,1070369383774
MAR;-80,33938098710293
GLUU;-79,15472453462453
JBLU;-78,8833382081025
DFS;-77,10006046798203
NYMT;-76,96861197603506
GGB;-75,56166583276064
RL;-71,72835927240655
MFA;-68,70074686957955
UA;-67,39380101642173
NAVI;-66,33438853850103
ULTA;-65,82724377290101
EMR;-64,76576128474575
JMIA;-63,58873507740877
BRFS;-63,39195838792634
RY;-60,96397402223625
TRV;-60,0871876311149
DISH;-59,033629996070715
LUV;-58,14406255262111
BSMX;-55,45622465388485
BHP;-54,89086360907793
W;-54,62598524626986
UAA;-54,11256172778685
LKQ;-51,59849737048389
NFLX;-50,38323615028897
VIV;-50,33086660811107
MET;-48,978042489978755
NCLH;-48,683648621405396
HEXO;-46,721609253139185
VMW;-46,455657082251214
MU;-46,33998372619079
MXIM;-46,07948903172208
CNC;-45,78246139110964
UXIN;-44,71806787660871
MCHP;-44,145808228036586
DPZ;-44,05845671057809
CVS;-43,81221315004303
CGNX;-42,4940867318509
PFE;-42,112017066855095
BABA;-41,09084886976073
DAL;-39,44742455394019
USB;-39,30382585313115
RTN;-39,279969952958886
ILMN;-39,15517627379378
TIGR;-38,33288887204766
SIRI;-38,31941813025084
RCL;-37,776707593396296
UAL;-37,3119351440894
VTR;-36,24158245542769
QLYS;-35,57025336760781
TM;-34,61039058088836
PSA;-34,43247422525976
CI;-33,646622916206724
C;-33,37952322350309
ESI;-31,873004129393923
NPTN;-31,811423895300557
GNL;-31,764204952958384
SHAK;-31,43531918811452
INCY;-31,352801413157636
TTWO;-31,015280221370922
HAS;-30,996533144419928
DE;-30,48060603678441
NRG;-30,237503716074762
KR;-30,087755765115958
DELL;-29,83403662768936
ROK;-29,712143455374733
IQ;-29,667484007691442
H;-29,50845634207014
YUMC;-29,314994272304983
